Vehicle_ID,Region_Code,Odometer_Reading,Purchase_Date,Vehicle_Age_Years,Daily_Commute,Service_Type
VH-1000,Central,141227,2014-05-15,11,36.281327087844595,Major_Service
VH-1001,East,58885,2020-06-23,5,35.03825753822394,Major_Service
VH-1002,South,105699,2016-06-21,9,26.80681955406967,Major_Service
VH-1003,East,57962,2019-10-28,5,36.05965349494934,Oil_Change
VH-1004,West,25350,2022-01-19,3,37.401220570561065,Oil_Change
VH-1005,East,118468,2015-05-11,10,24.109994667134174,Major_Service
VH-1006,South,164143,2011-05-31,14,22.411279437895338,Major_Service
VH-1007,North,86994,2017-05-15,8,39.55056509263736,Major_Service
VH-1008,West,78937,2018-07-05,6,,Tire_Rotation
VH-1009,West,191418,2010-02-23,15,36.835088855389145,Major_Service
VH-1010,North,88603,2017-10-01,7,46.93722925204035,Major_Service
VH-1011,East,169069,2010-03-19,15,18.408805844515705,Major_Service
VH-1012,North,63172,2019-09-08,5,,Tire_Rotation
VH-1013,South,71979,2019-01-29,6,31.845018592822427,Tire_Rotation
VH-1014,East,30931,2022-10-06,2,30.729596753170387,Oil_Change
VH-1015,Central,99489,2016-12-25,8,33.29646298804524,Major_Service
VH-1016,Central,176067,2010-02-18,15,,Major_Service
VH-1017,Central,82307,2017-10-03,7,34.84751647181633,Tire_Rotation
VH-1018,West,147558,2012-08-31,12,49.01754795260513,Major_Service
VH-1019,Central,57278,2020-05-01,5,49.966522853695665,Tire_Rotation
VH-1020,South,121082,2014-07-04,11,31.9679950499134,Major_Service
VH-1021,West,136903,2013-02-16,12,30.003664796056437,Oil_Change
VH-1022,East,84264,2018-05-31,7,28.434020957110125,Major_Service
VH-1023,East,55272,2020-05-21,5,36.498258334908456,Tire_Rotation
VH-1024,East,166511,2012-01-13,13,23.897411441772586,Major_Service
VH-1025,West,121319,2014-08-02,10,26.535814964814556,Major_Service
VH-1026,East,115080,2015-06-25,10,25.20551960958904,Major_Service
VH-1027,South,179670,2010-04-10,15,40.24810278337216,Tire_Rotation
VH-1028,West,22165,2022-10-09,2,48.628641384939534,Tire_Rotation
VH-1029,East,47558,2020-07-27,4,36.104779075384634,Tire_Rotation
VH-1030,Central,97141,2017-01-27,8,50.84018530338962,Major_Service
VH-1031,East,85207,2017-10-01,7,32.30336343592407,Major_Service
VH-1032,West,168907,2011-03-22,14,40.351250747739215,Major_Service
VH-1033,South,140096,2013-04-28,12,49.3993231099262,Major_Service
VH-1034,North,75489,2018-04-19,7,22.582102953310752,Major_Service
VH-1035,East,42886,2021-07-05,3,22.671548524571193,Oil_Change
VH-1036,South,49764,2020-04-13,5,44.8249549608345,Tire_Rotation
VH-1037,East,116127,2015-09-25,9,8.587877089190737,Major_Service
VH-1038,West,105138,2016-08-29,8,41.922406372754864,Major_Service
VH-1039,Central,82645,2017-09-07,7,42.92764576929351,Major_Service
VH-1040,North,100366,2016-01-13,9,25.059046416608773,Major_Service
VH-1041,North,54058,2020-06-07,5,34.85808737454861,Tire_Rotation
VH-1042,North,178543,2010-04-19,15,32.214906850035455,Major_Service
VH-1043,East,137225,2013-03-21,12,45.41990408031232,Major_Service
VH-1044,North,173895,2010-10-19,14,24.61765374482608,Major_Service
VH-1045,North,154110,2011-12-07,13,44.073382479609386,Major_Service
VH-1046,East,43187,2021-09-03,3,20.949000981895608,Oil_Change
VH-1047,West,148915,2012-06-09,13,40.282931608187035,Major_Service
VH-1048,South,27090,2021-12-04,3,21.331149646916735,Oil_Change
VH-1049,South,137412,2013-11-10,11,17.769179620953686,Major_Service
VH-1050,South,67310,2020-01-25,5,18.842900325371648,Tire_Rotation
VH-1051,Central,35549,2021-06-19,4,16.703399411752066,Oil_Change
VH-1052,Central,177018,2010-04-12,15,25.889445967874945,Major_Service
VH-1053,South,20932,2022-12-09,2,31.10477411130323,Oil_Change
VH-1054,North,146354,2012-06-24,13,32.53548041479654,Major_Service
VH-1055,Central,21130,2023-07-07,1,33.58940525375062,Tire_Rotation
VH-1056,South,158685,2011-05-04,14,39.02397757200862,Major_Service
VH-1057,North,155033,2012-02-28,13,38.33029324175148,Major_Service
VH-1058,West,34632,2022-07-11,2,26.117613000698363,Oil_Change
VH-1059,East,175335,2010-09-23,14,22.91046262321408,Major_Service
VH-1060,South,56654,2020-07-12,4,13.78652174545526,Tire_Rotation
VH-1061,Central,139300,2013-09-07,11,30.261054803226767,Major_Service
VH-1062,South,98030,2016-02-21,9,33.33973101181376,Major_Service
VH-1063,South,88833,2017-05-20,8,51.1772738202272,Major_Service
VH-1064,Central,110039,2015-12-03,9,53.02987265350906,Tire_Rotation
VH-1065,Central,84324,2018-04-14,7,21.369087309336088,Tire_Rotation
VH-1066,West,110613,2015-12-02,9,,Major_Service
VH-1067,East,159827,2012-01-20,13,,Major_Service
VH-1068,West,166839,2011-01-02,14,24.218797413526932,Major_Service
VH-1069,East,166061,2011-04-10,14,32.00780469007181,Major_Service
VH-1070,West,76367,2018-10-12,6,36.74485186989649,Tire_Rotation
VH-1071,South,65935,2019-06-10,6,37.80139715066099,Tire_Rotation
VH-1072,West,105623,2016-01-18,9,25.90681516052549,Major_Service
VH-1073,South,21312,2023-05-16,2,31.962753160993945,Oil_Change
VH-1074,South,36182,2021-07-31,3,52.31555243446201,Oil_Change
VH-1075,South,62047,2019-06-07,6,14.77667126129489,Tire_Rotation
VH-1076,North,42950,2021-11-24,3,35.28186734452198,Oil_Change
VH-1077,West,105068,2016-06-01,9,23.69493366998104,Major_Service
VH-1078,East,136416,2013-01-22,12,27.806892839039296,Major_Service
VH-1079,South,60692,2019-12-06,5,30.124209902552927,Tire_Rotation
VH-1080,Central,50901,2020-10-20,4,,Major_Service
VH-1081,West,101393,2016-02-07,9,10.91991178767233,Major_Service
VH-1082,South,157650,2011-09-19,13,13.339408214293531,Major_Service
VH-1083,Central,29120,2021-06-09,4,45.22562110668041,Oil_Change
VH-1084,West,134468,2013-11-17,11,,Major_Service
VH-1085,Central,150395,2012-04-25,13,47.43476947122706,Tire_Rotation
VH-1086,South,43293,2021-11-13,3,38.977963111189226,Oil_Change
VH-1087,Central,29106,2022-09-19,2,19.369511063816688,Oil_Change
VH-1088,South,30770,2022-05-22,3,20.54411875265833,Oil_Change
VH-1089,South,152503,2013-02-23,12,19.536416140777675,Oil_Change
VH-1090,North,10399,2023-08-05,1,13.670760031831179,Oil_Change
VH-1091,East,134629,2014-02-15,11,13.324632191713544,Major_Service
VH-1092,West,53641,2020-10-15,4,32.8647298796056,Tire_Rotation
VH-1093,North,25732,2022-10-10,2,54.93990185752055,Oil_Change
VH-1094,North,90666,2017-03-23,8,34.96726954134747,Tire_Rotation
VH-1095,South,63684,2019-03-09,6,22.015720392647673,Tire_Rotation
VH-1096,East,144384,2013-04-17,12,22.27959356029743,Major_Service
VH-1097,East,76397,2018-08-17,6,36.884084244168484,Tire_Rotation
VH-1098,East,103574,2016-05-30,9,25.84808883864399,Major_Service
VH-1099,South,141210,2013-04-07,12,,Major_Service
VH-1100,North,36607,2021-11-02,3,40.627104161410735,Oil_Change
VH-1101,South,121362,2015-08-17,9,36.9554672454578,Major_Service
VH-1102,Central,124450,2014-09-14,10,,Major_Service
VH-1103,West,173178,2010-04-06,15,39.622991701503,Major_Service
VH-1104,Central,24207,2023-05-13,2,,Oil_Change
VH-1105,Central,77007,2017-12-11,7,34.352529220118456,Tire_Rotation
VH-1106,South,36677,2022-06-22,3,25.52101648073156,Oil_Change
VH-1107,North,135007,2013-11-14,11,34.125801614290495,Major_Service
VH-1108,Central,131026,2014-07-03,11,35.1383272903568,Major_Service
VH-1109,Central,45134,2020-11-09,4,38.46903898059405,Tire_Rotation
VH-1110,East,132151,2013-11-15,11,30.291414757373808,Tire_Rotation
VH-1111,South,101267,2016-12-09,8,11.607391366592708,Major_Service
VH-1112,West,66389,2019-11-01,5,19.234094955446533,Tire_Rotation
VH-1113,East,45887,2020-12-09,4,42.09027284571865,Oil_Change
VH-1114,Central,97997,2017-05-05,8,,Major_Service
VH-1115,West,73295,2018-06-21,7,14.751444632411593,Tire_Rotation
VH-1116,South,128942,2013-11-28,11,46.028155369261384,Major_Service
VH-1117,South,41957,2021-08-02,3,20.059817077803395,Oil_Change
VH-1118,Central,151855,2012-04-20,13,16.64908265369386,Major_Service
VH-1119,Central,172189,2010-08-17,14,36.98566404182925,Major_Service
VH-1120,East,12680,2023-05-12,2,38.70907016804841,Oil_Change
VH-1121,South,76049,2019-05-01,6,39.29657840636102,Tire_Rotation
VH-1122,South,60401,2019-09-29,5,,Tire_Rotation
VH-1123,East,122586,2014-05-22,11,19.451494024260356,Major_Service
VH-1124,South,170903,2011-09-03,13,17.327598241766548,Major_Service
VH-1125,North,93267,2016-11-25,8,27.46520617218923,Major_Service
VH-1126,North,121078,2014-12-16,10,,Major_Service
VH-1127,North,106710,2016-06-12,9,43.597119775466716,Major_Service
VH-1128,West,91805,2017-09-05,7,32.942166265326115,Major_Service
VH-1129,West,68888,2018-09-08,6,31.4748647106359,Tire_Rotation
VH-1130,West,157711,2011-07-26,13,22.798902519260544,Major_Service
VH-1131,Central,52261,2020-07-13,4,,Tire_Rotation
VH-1132,South,143628,2013-06-17,12,40.31915860011023,Tire_Rotation
VH-1133,North,34506,2021-09-05,3,29.996450389109985,Oil_Change
VH-1134,Central,103119,2016-04-28,9,32.92795130845309,Major_Service
VH-1135,West,163919,2011-09-13,13,28.59568168914742,Major_Service
VH-1136,East,138349,2013-07-13,11,36.65714586158747,Oil_Change
VH-1137,Central,107243,2016-03-29,9,38.07842743341045,Major_Service
VH-1138,East,2920,2023-08-15,1,,Oil_Change
VH-1139,North,133788,2013-10-18,11,19.867719874993078,Major_Service
VH-1140,North,27603,2022-04-02,3,4.322330788258569,Oil_Change
VH-1141,North,78395,2018-10-01,6,26.670791996107678,Tire_Rotation
VH-1142,Central,86425,2017-06-02,8,47.159501663525816,Major_Service
